,House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
79,8,Brown Cove,Christine,Barber,36,Partner,Single,Female,"Teacher, secondary school",None,None
80,9,Brown Cove,Billy,Williams,58,Head,Divorced,Male,"Teacher, English as a foreign language",None,None
81,9,Brown Cove,Bruce,Williams,15,Son,NA,Male,Student,None,NA
82,9,Brown Cove,Declan,Williams,12,Son,NA,Male,Student,None,NA
83,10,Brown Cove,Stacey,Hunter,40,Head,Married,Female,Unemployed,None,Catholic
84,10,Brown Cove,Brian,Hunter,36,Husband,Married,Male,Ranger/warden,None,Catholic
85,10,Brown Cove,Paula,Hunter,19,Daughter,Single,Female,University Student,None,Catholic
86,10,Brown Cove,Brett,Hunter,16,Son,NA,Male,Student,None,NA
87,11,Brown Cove,Arthur,Roberts,80,Head,Widowed,Male,Retired Radiation protection practitioner,None,Catholic
88,11,Brown Cove,Anne,Roberts,39,Daughter,Single,Female,Medical laboratory scientific officer,None,Catholic
89,11,Brown Cove,Lynn,Roberts,35,Daughter,Single,Female,Neurosurgeon,None,Catholic
90,11,Brown Cove,Norman,Roberts,34,Son,Single,Male,Field seismologist,None,Catholic
91,12,Brown Cove,Kirsty,Coleman,44,Head,Married,Female,"Engineer, civil (contracting)",None,Catholic
92,12,Brown Cove,Edward,Coleman,43,Husband,Married,Male,Veterinary surgeon,None,Catholic
93,12,Brown Cove,Reece,Turnbull-Coleman,1,Son,NA,Male,Child,None,NA
94,13,Brown Cove,Bethany,Turner,41,Head,Single,Female,Administrator,None,None
95,13,Brown Cove,Frederick,Nolan,42,Partner,Single,Male,Tax inspector,None,None
96,13,Brown Cove,Owen,Turner,10,Son,NA,Male,Student,None,NA
97,14,Brown Cove,Kelly,Kerr,46,Head,Married,Female,Medical laboratory scientific officer,None,None
98,14,Brown Cove,Darren,Kerr,48,Husband,Married,Male,Communications engineer,None,None
99,14,Brown Cove,Dale,Stevens-Kerr,24,Son,Single,Male,Chief Technology Officer,None,None
100,15,Brown Cove,Rhys,Wells,59,Head,Single,Male,Technical brewer,None,Christian
101,15,Brown Cove,Marilyn,Harrison,38,None,Single,Female,Dentist,None,Muslim
102,15,Brown Cove,Lydia,Green,28,None,Single,Female,Cytogeneticist,None,None
103,16,Brown Cove,Julie,Smith,63,Head,Married,Female,Mental health nurse,None,Christian
104,16,Brown Cove,Mathew,Smith,63,Husband,Married,Male,Magazine journalist,None,Christian
105,16,Brown Cove,Ronald,Smith,15,Son,NA,Male,Student,None,NA
106,17,Brown Cove,Louis,Ali,44,Head,Single,Male,Economist,None,Methodist
107,17,Brown Cove,Josephine,Clayton,43,Partner,Single,Female,Firefighter,None,Methodist
108,17,Brown Cove,Victor,Ali,15,Son,NA,Male,Student,None,NA
109,18,Brown Cove,Josh,Pugh,35,Head,Single,Male,Adult guidance worker,None,Catholic
110,18,Brown Cove,Rachael,Ward-Pugh,13,Daughter,NA,F,Student,None,NA
111,18,Brown Cove,Jacob,Ward-Pugh,9,Son,NA,Male,Student,None,NA
112,18,Brown Cove,Jean,Ward-Pugh,8,Daughter,NA,Female,Student,None,NA
113,19,Brown Cove,Melissa,Miah,55,Head,Married,Female,Dancer,None,Methodist
114,19,Brown Cove,George,Miah,57,Husband,Married,Male,"Administrator, arts",None,Methodist
115,19,Brown Cove,Eleanor,Miah,31,Daughter,Single,Female,Bonds trader,None,Methodist
116,19,Brown Cove,Glen,Miah,31,Son,Single,Male,Wellsite geologist,None,Methodist
117,19,Brown Cove,Gail,Miah,30,Daughter,Single,Female,Operations geologist,None,None
118,20,Brown Cove,Sophie,Ward,64,Head,Single,Female,Unemployed,None,Christian
119,20,Brown Cove,Sandra,Ward,34,Daughter,Single,Female,Geoscientist,None,Christian
120,21,Brown Cove,Melissa,Williams,48,Head,Single,Female,Learning mentor,None,None
121,21,Brown Cove,Ryan,Brown,50,Partner,Single,Male,Osteopath, ,None
122,21,Brown Cove,Gerard,Williams,16,Son,NA,Male,Student,None,NA
123,21,Brown Cove,Garry,Williams,12,Son,NA,Male,Student,None,NA
124,21,Brown Cove,Maria,Williams,10,Daughter,NA,Female,Student,Disabled,NA
125,22,Brown Cove,Cheryl,Lynch,34,Head,Married,Female,Television camera operator,None,None
126,22,Brown Cove,Ricky,Lynch,36,Husband,Married,Male,Unemployed,None,None
127,22,Brown Cove,Josh,Lynch,7,Son,NA,Male,Student,None,NA
128,23,Brown Cove,Patricia,Wood,74,Head,Married,Female,"Retired Engineer, electrical",None,None
129,23,Brown Cove,Liam,Wood,81,Husband,Married,Male,Retired Investment analyst,None,None
130,23,Brown Cove,Victoria,Hayward,41,None,Married,Female,Operational investment banker,None,Christian
131,23,Brown Cove,Steven,Hayward,36,None,Married,Male,Medical illustrator,None,Christian
132,23,Brown Cove,Katie,Hayward,14,None,NA,Female,Student,None,NA
133,24,Brown Cove,Janet,Herbert,56,Head,Married,Female,Banker,None,Christian
134,24,Brown Cove,Mathew,Herbert,63,Husband,Married,Male,Psychiatrist,None,Christian
135,24,Brown Cove,Bruce,Herbert,32,Son,Single,Male,"Restaurant manager, fast food",None,None
136,25,Brown Cove,Sian,Saunders,30,Head,Married,Female,Aeronautical engineer,None,None
137,25,Brown Cove,Liam,Saunders,29,Husband,Married,Male,Medical illustrator,None,None
138,25,Brown Cove,Abbie,Saunders,4,Daughter,NA,Female,Child,None,NA
139,26,Brown Cove,Alexandra,Brown,46,Head,Divorced,Female,Unemployed,None,Catholic
140,26,Brown Cove,Hannah,Brown,10,Daughter,NA,Female,Student,None,NA
141,26,Brown Cove,Janet,Brown,7,Daughter,NA,Female,Student,None,NA
142,27,Brown Cove,Heather,Davies,62,Head,Single,Female,Ergonomist,None,Jewish
143,27,Brown Cove,Dale,Palmer,26,None,Single,Male,Speech and language therapist,None,None
144,27,Brown Cove,Ben,Johnson,54,None,Single,Male,Science writer,None,Christian
145,28,Brown Cove,Carly,Sims,25,Head,Single,Female,Museum/gallery curator,None,Christian
146,28,Brown Cove,Eric,Gibbs,27,Partner,Single,Male,Landscape architect,None,None
147,29,Brown Cove,Lorraine,Lawson,18,Head,Divorced,Female,Student,None,NA
148,30,Brown Cove,Tina,Pugh,42,Head,Married,Female,Sports therapist,None,Catholic
149,30,Brown Cove,Sam,Pugh,40,Husband,Married,Male,"Engineer, drilling",None,Catholic
150,30,Brown Cove,Hugh,Pugh,13,Adopted Son,NA,Male,Student,None,NA
151,30,Brown Cove,Lawrence,Pugh,10,Son,NA,Male,Student,None,NA
152,30,Brown Cove,Sophie,Pugh,9,Daughter,NA,Female,Student,None,NA
153,30,Brown Cove,Eric,Pugh,7,Son,NA,Male,Student,None,NA
154,31,Brown Cove,Carol,Riley,44,Head,Widowed,Female,Unemployed,None,None
155,31,Brown Cove,Jamie,Riley,27,Son,Single,Male,Diplomatic Services operational officer,None,None
156,31,Brown Cove,Olivia,Riley,19,Daughter,Single,Female,University Student,None,None
157,32,Brown Cove,Sara,Simpson,36,Head,Divorced,Female,Archivist,None,None
158,33,Brown Cove,Margaret,Barnett,55,Head,Single,Female,"Engineer, electrical",None,Christian
159,33,Brown Cove,Vincent,Jones,57,Partner,Single,M,Maintenance engineer,None,Christian
160,33,Brown Cove,Kim,Barnett,15,Daughter,NA,Female,Student,None,NA
161,33,Brown Cove,Nicola,Barnett,11,Daughter,NA,Female,Student,None,NA
162,34,Brown Cove,Natasha,Foster,67,Head,Married,Female,Unemployed,None,Christian
163,34,Brown Cove,Douglas,Foster,69,Husband,Married,Male,Retired Medical technical officer,None,None
164,34,Brown Cove,Jane,Foster,36,Daughter,Single,Female,Maintenance engineer,None,None
165,35,Brown Cove,Louise,Benson,53,Head,Single,Female,Hydrographic surveyor,None,Catholic
166,35,Brown Cove,Graeme,Clayton,52,Partner,Single,Male,"Restaurant manager, fast food",None,Catholic
167,36,Brown Cove,Lauren,Kennedy,57,Head,Divorced,Female,"Conservation officer, historic buildings",None,Catholic
168,36,Brown Cove,Lynda,Kennedy,24,Daughter,Divorced,Female,"Psychologist, sport and exercise",Physical Disability,Catholic
169,36,Brown Cove,Kerry,Kennedy,21,Daughter,Divorced,Female,University Student,None,None
170,36,Brown Cove,Dawn,Kennedy,17,Daughter,NA,Female,Student,None,NA
171,36,Brown Cove,Neil,Kennedy,15,Son,NA,Male,Student,None,NA
172,37,Brown Cove,Louise,Chamberlain,62,Head,Married,Female,Airline pilot,None,Christian
173,37,Brown Cove,Thomas,Chamberlain,61,Husband,Married,Male,Sports therapist,None,Christian
174,37,Brown Cove,Anne,Chamberlain,26,Daughter,Divorced,Female,Dealer,None,None
175,38,Brown Cove,Janet,Brown,38,Head,Married,Female,Building services engineer,None,Catholic
176,38,Brown Cove,Jamie,Brown,44,Husband,Married,Male,Museum/gallery exhibitions officer,None,Catholic
177,38,Brown Cove,Victor,Brown,5,Son,NA,male,Student,None,NA
178,38,Brown Cove,Elizabeth,Brown,4,Daughter,NA,Female,Child,None,NA
179,39,Brown Cove,Marilyn,Mann,47,Head,Divorced,Female,Unemployed,None,None
180,39,Brown Cove,Josephine,Mann,15,Daughter,NA,Female,Student,None,NA
181,39,Brown Cove,Victoria,Mann,11,Daughter,NA,Female,Student,None,NA
182,40,Brown Cove,Roy,Henderson,18,Head,Married,Male,Student,None,NA
183,40,Brown Cove,Gemma,Henderson,19,Wife,Married,Female,University Student,None,NA
184,41,Brown Cove,Albert,Walton,36,Head,Single,Male,Conference centre manager,None,None
185,41,Brown Cove,Joyce,Davies,64,None,Single,Female,Community arts worker,None,None
186,41,Brown Cove,Eric,Daniels,29,None,Single,Male,Unemployed,None,None
187,41,Brown Cove,Stanley,Harris,23,None,Single,Male,Structural engineer,None,None
188,42,Brown Cove,Emily,Ward,65,Head,Divorced,Female,Hotel manager,None,Methodist
189,42,Brown Cove,Lynne,Ward,33,Daughter,Widowed,Female,Press sub,None,Methodist
190,42,Brown Cove,June,Ward,33,Daughter,Single,Female,Public house manager,None,None
191,43,Brown Cove,Denis,Brooks,50,Head,Single,Male,Magazine journalist,None,None
192,44,Brown Cove,Emma,Webster,33,Head,Married,Female,Unemployed,None,None
193,44,Brown Cove,Henry,Webster,32,Husband,Married,Male,Trade mark attorney,None,None
194,44,Brown Cove,Hazel,Webster,15,Daughter,NA,Female,Student,None,NA
195,1,Reindeer Canyon,Eileen,Sheppard,64,Head,Married,Female,Animator,None,Methodist
196,1,Reindeer Canyon,Donald,Dawson,64,Husband,Married,Male,Comptroller,None,Methodist
197,1,Reindeer Canyon,Megan,Sheppard,31,Daughter,Single,Female,Editorial assistant,None,Methodist
198,1,Reindeer Canyon,Gordon,Sheppard,27,Son,Divorced,Male,"Psychotherapist, child",None,None
199,2,Reindeer Canyon,Molly,Rahman,30,Head,Single,Female,Unemployed,None,None
200,2,Reindeer Canyon,Liam,Hunt-Rahman,2,Son,NA,Male,Child,None,NA
201,2,Reindeer Canyon,Aaron,Day,33,Lodger,Divorced,Male,Theatre director,None,Christian
202,2,Reindeer Canyon,Lynn,Carter,61,Lodger,Single,Female,Audiological scientist,None,Christian
203,3,Reindeer Canyon,Molly,Nelson,32,Head,Married,Female,Hospital doctor,None,Catholic
204,3,Reindeer Canyon,Marc,Nelson,33,Husband,Married,Male,Unemployed,None,None
205,3,Reindeer Canyon,Lynne,Nelson,15,Daughter,NA,female,Student, ,NA
206,3,Reindeer Canyon,Kenneth,Nelson,14,Son,NA,Male,Student,None,NA
207,4,Reindeer Canyon,Fiona,Butler,42,Head,Single,Female,Health and safety inspector,None,None
208,4,Reindeer Canyon,Susan,Butler,3,Daughter,NA,Female,Child,None,NA
209,4,Reindeer Canyon,Shirley,Simpson,46,Lodger,Single,Female,Printmaker,None,Catholic
210,4,Reindeer Canyon,Clifford,Davies,53,Lodger,Single,Male,Soil scientist,None,Christian
211,5,Reindeer Canyon,Mary,Barker,52,Head,Married,Female,Financial risk analyst,None,None
212,5,Reindeer Canyon,Matthew,Barker,53,Husband,Married,Male,Unemployed,None,None
213,5,Reindeer Canyon,Stewart,Barker,17,Son,NA,Male,Student,None,NA
214,6,Reindeer Canyon,Zoe,Thompson,30,Head,Single,Female,Plant breeder/geneticist,None,None
215,6,Reindeer Canyon,Toby,Evans,29,Partner,Single,Male,Public house manager,None,None
216,6,Reindeer Canyon,Conor,Thompson,0,Son,NA,Male,Child,None,NA
217,7,Reindeer Canyon,Lee,Lewis,35,Head,Divorced,Male,Unemployed,None,Methodist
218,7,Reindeer Canyon,Shannon,Lewis,1,Daughter,NA,Female,Child,None,NA
219,7,Reindeer Canyon,Sarah,Ward,40,Lodger,Single,Female,Toxicologist,None,Catholic
220,8,Reindeer Canyon,Ashley,Watson,73,Head,Married,Male,"Retired Clinical scientist, histocompatibility and immunogenetics",None,Methodist
221,8,Reindeer Canyon,Andrea,Watson,73,Wife,Married,Female,Retired International aid/development worker,None,Methodist
222,9,Reindeer Canyon,Marie,Davies,39,Head,Married,Female,Estate agent,None,Christian
223,9,Reindeer Canyon,Brett,Davies,39,Husband,Married,Male,Product manager,None,Christian
224,9,Reindeer Canyon,George,Davies,17,Son,NA,Male,Student,None,NA
225,10,Reindeer Canyon,Ashleigh,Taylor,52,Head,Single,Female,"Development worker, community",None,Christian
226,10,Reindeer Canyon,Sally,Taylor,12,Granddaughter,NA,Female,Student,None,NA
227,10,Reindeer Canyon,Billy,Taylor,12,Grandson,NA,Male,Student,None,NA
228,11,Reindeer Canyon,Yvonne,Stephens,44,Head,Single,Female,Unemployed,None,None
229,11,Reindeer Canyon,Glenn,Stephens,17,Son,NA,Male,Student,None,NA
230,12,Reindeer Canyon,Donna,Brown,72,Head,Married,female,Retired Building control surveyor,None,Methodist
231,12,Reindeer Canyon,Steven,Brown,76,Husband,Married,Male,Retired Control and instrumentation engineer,None,Methodist
232,12,Reindeer Canyon,Lorraine,Brown,35,Daughter,Single,Female,Music tutor,None,Methodist
233,13,Reindeer Canyon,Nigel,Phillips,38,Head,Single,Male,Medical sales representative,None,None
234,14,Reindeer Canyon,Jill,Russell,19,Head,Single,Female,University Student,None,Christian
235,14,Reindeer Canyon,Nigel,Jennings,19,None,Single,Male,University Student,None,Methodist
236,14,Reindeer Canyon,Toby,Baker,18,None,Single,Male,University Student,None,None
237,15,Reindeer Canyon,Mandy,Johnson,40,Head,Married,Female,Psychiatrist,None,Muslim
238,15,Reindeer Canyon,Vincent,Johnson,43,Husband,Married,Male,Paramedic,None,Muslim
239,15,Reindeer Canyon,Rachel,Johnson,22,Daughter,Single,Female,University Student,None,Muslim
240,15,Reindeer Canyon,Adrian,Johnson,20,Son,Single,Male,University Student,None,Muslim
241,15,Reindeer Canyon,Holly,Johnson,18,Daughter,Divorced,Female,Student,None,Muslim
242,16,Reindeer Canyon,Pamela,Lee,65,Head,Widowed,Female,Careers adviser,None,Catholic
243,17,Reindeer Canyon,Georgia,Morgan,75.52556518,Head,Married,Female,Retired Advice worker,None,Christian
244,17,Reindeer Canyon,Scott,Morgan,77.52556518,Husband,Married,Male,Retired Museum/gallery conservator,None,Christian
245,17,Reindeer Canyon,Jade,Morgan,22,Daughter,Divorced,Female,University Student,None,Christian
246,17,Reindeer Canyon,Ruth,Morgan,4,Daughter,NA,Female,Child,None,NA
247,18,Reindeer Canyon,Joanne,Murphy,44,Head,Married,Female,Database administrator,None,Catholic
248,18,Reindeer Canyon,Shaun,Murphy,46,Husband,Married,Male,"Physicist, medical",None,Catholic
249,18,Reindeer Canyon,Connor,Murphy,10,Son,NA,Male,Student,None,NA
250,19,Reindeer Canyon,Rosemary,Richardson,38,Head,Married,Female,Architect,None,None
251,19,Reindeer Canyon,Kimberley,Richardson,39,Wife,Married,Female,Musician,None,None
252,19,Reindeer Canyon,Stacey,Richardson,1,Daughter,NA,Female,Child,Blind,NA
253,20,Reindeer Canyon,Conor,Long,57,Head,Married,Male,Advertising copywriter,None,Methodist
254,20,Reindeer Canyon,Jamie,Long,49,Husband,Married,Male,Communications engineer,None,None
255,20,Reindeer Canyon,Lewis,Day,7,Grandson,NA,Male,Student,None,NA
256,20,Reindeer Canyon,Adrian,Day,3,Grandson,NA,Male,Child,None,NA
257,20,Reindeer Canyon,Eric,Day,1,Grandson,NA,Male,Child,None,NA
258,21,Reindeer Canyon,Harriet,Henderson,36,Head,Divorced,Female,Sports therapist,None,None
259,21,Reindeer Canyon,Janice,Poole,1,Step-Daughter,NA,Female,Child,None,NA
260,22,Reindeer Canyon,Valerie,Richards,50,Head,Single,Female,Paramedic,None,None
261,22,Reindeer Canyon,Tom,Stevens,13,Step-Son,NA,Male,Student,None,NA
262,22,Reindeer Canyon,Rita,Stevens,6,Step-Daughter,NA,Female,Student,None,NA
263,22,Reindeer Canyon,Roy,Robinson,4,Step-Son,NA,Male,Child,None,NA
264,22,Reindeer Canyon,Toby,Robinson,1,Step-Son,NA,Male,Child,None,NA
265,23,Reindeer Canyon,Lesley,Brown,43,Head,Widowed,Female,"Production assistant, television",None,Catholic
266,23,Reindeer Canyon,Dawn,Brown,8,Daughter,NA,Female,Student,None,NA
267,23,Reindeer Canyon,Rosie,Brown,5,Daughter,NA,Female,Student,None,NA
268,23,Reindeer Canyon,Catherine,Brown,2,Daughter,NA,Female,Child,None,NA
269,23,Reindeer Canyon,Christopher,Brown,0,Son,NA,Male,Child,None,NA
270,24,Reindeer Canyon,Leigh,Smith,37,Head,Single,Male,Film/video editor,None,None
271,25,Reindeer Canyon,Janet,Carter,45,Head,Married,Female,Counsellor,None,Methodist
272,25,Reindeer Canyon,Joe,Carter,46,Husband,Married,Male,Insurance underwriter,None,None
273,25,Reindeer Canyon,Mandy,Carter,14,Daughter,NA,Female,Student,None,NA
274,26,Reindeer Canyon,Deborah,Simpson,58,Head,Married,Female,Charity officer,None,Christian
275,26,Reindeer Canyon,Glenn,Simpson,62,Husband,Married,Male,Holiday representative,None,Christian
276,26,Reindeer Canyon,Nigel,Rees-Simpson,20,Son,Single,Male,University Student,None,Christian
277,26,Reindeer Canyon,Declan,Rees-Simpson,16,Son,NA,M,Student,None,NA
278,27,Reindeer Canyon,Charlene,Bowen-Morris,55,Head,Single,Female,"Horticulturist, commercial",None,Methodist
279,27,Reindeer Canyon,Martyn,Bowen-Morris,31,Son,Single,Male,"Engineer, aeronautical",None,Methodist
280,27,Reindeer Canyon,Ricky,Bowen-Morris,27,Son,Divorced,Male,Unemployed,None,Methodist
281,28,Reindeer Canyon,Marian,Riley,46,Head,Single,Female,Petroleum engineer,None,Christian
282,28,Reindeer Canyon,Marian,Price,23,None,Single,Female,"Doctor, hospital",None,None
283,28,Reindeer Canyon,Liam,Williams,44,None,Single,Male,Financial planner,None,None
284,29,Reindeer Canyon,Jenna,Clark,30,Head,Married,Female,Research scientist (medical),None,None
285,29,Reindeer Canyon,Karl,Clark,36,Husband,Married,M,Hospital doctor,None,None
286,29,Reindeer Canyon,Justin,Clark,2,Son,NA,Male,Child,None,NA
287,29,Reindeer Canyon,Albert,Clark,2,Son,NA,Male,Child,None,NA
288,29,Reindeer Canyon,Nicole,Cox,31,Lodger,Single,f,Sports development officer,None,None
289,30,Reindeer Canyon,Pamela,White,49,Head,Married,Female,Advertising art director,None,Catholic
290,30,Reindeer Canyon,Stuart,White,53,Husband,Married,Male,"Engineer, biomedical",None,Catholic
291,30,Reindeer Canyon,Hannah,White,6,Daughter,NA,Female,Student,None,NA
292,31,Reindeer Canyon,Helen,Harrison-Davies,57,Head,Married,Female,Camera operator,None,None
293,31,Reindeer Canyon,John,Harrison-Davies,62,Husband,Married,Male,Customer service manager,None,None
294,31,Reindeer Canyon,Graham,Harrison-Davies,20,Son,Single,Male,"Therapist, drama",None,None
295,32,Reindeer Canyon,Chloe,Mason,57,Head,Married,Female,Chief Executive Officer,None,Christian
296,32,Reindeer Canyon,Gary,Mason,61,Husband,Married,Male,Translator,None,Christian
297,32,Reindeer Canyon,Amanda,Mason,14,Daughter,NA,Female,Student,None,NA
298,32,Reindeer Canyon,Aaron,Mason,12,Son,NA,Male,Student,None,NA
299,33,Reindeer Canyon,Rebecca,Burns,30,Head,Married,Female,"Designer, graphic",None,Christian
300,33,Reindeer Canyon,George,Burns-Hutchinson,32,Husband,Married,M,Primary school teacher,None,Christian
301,33,Reindeer Canyon,Lawrence,Burns-Hutchinson,3,Son,NA,Male,Child,None,NA
302,33,Reindeer Canyon,Philip,Burns-Hutchinson,1,Son,NA,Male,Child,None,NA
303,33,Reindeer Canyon,Jade,Ali,20,Lodger,Single,Female,University Student,None,None
304,34,Reindeer Canyon,Hannah,Jenkins,68,Head,Divorced,Female,Retired Further education lecturer,None,Christian
